title,summary,groups,interests
Marine Mammals; File No. 27514-01,"This document announces that Heather E. Liwanag, Ph.D. from California Polytechnic State University has applied for an amendment to her existing Scientific Research Permit No. 27514 to conduct research on northern elephant seals in California. The amendment seeks to increase the unintentional harassment of California sea lions from 50 to 150 animals and northern fur seals from 25 to 100. The National Marine Fisheries Service (NMFS) is seeking public comments on the application and has determined that the proposed activity is categorically excluded from the requirement to prepare an environmental assessment or environmental impact statement.","['California Polytechnic State University', 'Environmental advocacy groups', 'Commercial fishing industry']","['Supportive of the permit amendment as it would allow the researcher to expand the scope of their scientific research on northern elephant seals.', 'May be concerned about the increased unintentional harassment of California sea lions and northern fur seals, and could potentially oppose the permit amendment.', 'Could be interested in the permit amendment as it may impact their operations in the affected areas, particularly if the increased harassment affects the populations of California sea lions and northern fur seals.']"
Importer of Controlled Substances Application: Lipomed,"This document announces that Lipomed has applied to be registered as an importer of various controlled substances, including cathinones, benzodiazepines, and synthetic cannabinoids. The Drug Enforcement Administration is providing notice of this application and inviting comments and requests for a hearing from registered bulk manufacturers and applicants by June 5, 2024.The key points are:- Lipomed has applied to import a wide range of Schedule I controlled substances, many of which are novel psychoactive substances.- The DEA is providing the required public notice and opportunity for interested parties to comment or request a hearing on the application.- This document is important as it allows the DEA to evaluate the application and potential impacts of allowing the importation of these controlled substances.","['Registered bulk manufacturers of the affected controlled substances', 'Law enforcement agencies', 'Public health and addiction treatment organizations']","[""May submit comments or requests for a hearing to potentially block or influence the approval of Lipomed's application, as it could impact their market share and operations."", 'Likely to closely monitor the application and potential approval, as the importation of these substances could impact drug trafficking and abuse trends in the country.', 'May oppose the approval of the application due to concerns about the potential for increased availability and abuse of these controlled substances, which could exacerbate public health issues.']"
Bulk Manufacturer of Controlled Substances Application: Pharmaron Manufacturing Services (US) LLC,"This document announces that Pharmaron Manufacturing Services (US) LLC has applied to be registered as a bulk manufacturer of the controlled substances oxymorphone (drug code 9652) and noroxymorphone (drug code 9668), both Schedule II substances. The company plans to manufacture these substances for the purpose of producing material for clinical trials. The Drug Enforcement Administration is providing notice of this application and inviting comments or requests for a hearing from registered bulk manufacturers and applicants by July 5, 2024.","['Registered bulk manufacturers of oxymorphone and noroxymorphone', 'Applicants for bulk manufacturing of oxymorphone and noroxymorphone', 'Clinical trial researchers and pharmaceutical companies']","['May submit comments or objections to the issuance of the proposed registration, as they could be affected by the addition of a new manufacturer in the market.', 'May also submit comments or requests for a hearing, as they could be competing with Pharmaron Manufacturing Services (US) LLC for the same manufacturing authorizations.', 'May be interested in the increased availability of these controlled substances for their research and development activities.']"
Importer of Controlled Substances Application: Restek Corporation,"This document announces that Restek Corporation has applied to be registered as an importer of various controlled substances, including several Schedule I drugs such as cathinone, methcathinone, and synthetic cannabinoids. The Drug Enforcement Administration is providing notice of this application and inviting comments and requests for a hearing from registered bulk manufacturers and applicants of the affected substances by June 5, 2024.This is an important document as it outlines the process for reviewing and potentially approving the registration of a new importer of controlled substances, which could impact the availability and distribution of these drugs in the United States. The DEA is seeking input from relevant stakeholders to inform their decision-making on this application.","['Registered bulk manufacturers of the affected controlled substances', 'Applicants for registration to manufacture the affected controlled substances', 'Law enforcement and drug control agencies', 'Public health and addiction treatment organizations']","['May submit comments or requests for a hearing to potentially object to the issuance of the proposed registration, as it could impact their market share and operations.', 'May submit comments or requests for a hearing to potentially support or oppose the issuance of the proposed registration, depending on how it could affect their own applications and market position.', 'Likely to closely monitor the application and approval process to ensure the controlled substances are imported and distributed in a manner that aligns with drug control policies and public health and safety concerns.', 'May express concerns about the potential for increased availability and misuse of the controlled substances, particularly the Schedule I drugs, and advocate for stricter controls or rejection of the application.']"
Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Shortages Data Collections,"This document announces that the Food and Drug Administration (FDA) has submitted a proposed collection of information to the Office of Management and Budget (OMB) for review and clearance under the Paperwork Reduction Act. The collection is related to medical device shortages data, which the FDA gathers to anticipate and respond to potential shortages during emergencies or regulatory actions. The key points are:- The FDA has the authority to collect data from medical device manufacturers on inventory, manufacturing capabilities, distribution, and raw material constraints for devices that may be essential during emergencies.- The Coronavirus Aid, Relief, and Economic Security (CARES) Act gave the FDA new authorities to require manufacturers to notify the agency of permanent discontinuances or interruptions in device manufacturing that could lead to shortages.- The FDA has issued guidance to assist stakeholders in implementing the CARES Act's section 506J requirements, including clarifying notification procedures and how the FDA determines and responds to device shortages.This document is important as it outlines the FDA's ongoing efforts to monitor and mitigate potential medical device shortages, which can have significant public health implications, especially during emergencies and crises.","['Medical device manufacturers', 'Healthcare providers', 'Patient advocacy groups']","['May be concerned about the administrative burden and potential reputational risks associated with having to report manufacturing changes that could lead to shortages.', ""Likely to support the FDA's efforts to collect data and mitigate device shortages, as they are directly impacted by supply disruptions that can affect patient care."", 'May advocate for the FDA to take strong enforcement actions against manufacturers that fail to comply with the notification requirements, in order to protect vulnerable patient populations.']"
Long Island Rail Road's Request To Amend Its Positive Train Control Safety Plan and Positive Train Control System,"This document announces that the Long Island Rail Road (LIRR) has submitted a request to amend its Positive Train Control Safety Plan (PTCSP) to the Federal Railroad Administration (FRA). The amendment seeks FRA's approval for updates to the onboard software of LIRR's Advanced Civil Speed Enforcement System II (ACSES II) to address known software defects. FRA is publishing this notice and inviting public comments on LIRR's request before making a decision to approve, approve with conditions, or deny the amendment.The document outlines the regulatory requirements for railroads to obtain FRA approval before making material modifications to their FRA-certified positive train control (PTC) systems or associated safety plans. It also provides details on how the public can submit comments on LIRR's request within the specified timeline.","['Long Island Rail Road (LIRR)', 'Federal Railroad Administration (FRA)', 'Commuters and local communities', 'Rail safety advocacy groups']","['Seeking FRA approval for software updates to its PTC system to address known issues and maintain compliance.', ""Responsible for reviewing and approving LIRR's request to ensure the PTC system remains compliant with federal regulations."", ""Concerned about the reliability and safety of the LIRR's rail service, which could be affected by the proposed PTC system changes."", 'Likely to scrutinize the proposed changes to ensure they do not compromise rail safety.']"
Marine Mammals; File No. 27597,"This document announces that the NOAA Alaska Fisheries Science Center's Marine Mammal Laboratory has applied for a permit to conduct research on Steller sea lions. The proposed research activities include surveys, capture and handling, marking, sampling, and tagging of Steller sea lions and other non-target marine mammal species. The research aims to measure population status, vital rates, foraging ecology, habitat requirements, and the effects of natural and anthropogenic factors on the eastern distinct population segment of Steller sea lions. The permit is requested under the authority of the Marine Mammal Protection Act, and the activities are consistent with the Preferred Alternative in the Final Programmatic Environmental Impact Statement for Steller Sea Lion and Northern Fur Seal Research.","[""NOAA Alaska Fisheries Science Center's Marine Mammal Laboratory"", 'Environmental advocacy groups', 'Commercial fishing industry']","['Seeking approval for the research permit to further their scientific understanding of Steller sea lion populations.', 'May be concerned about the potential impacts of the research activities on Steller sea lions and other marine mammals, and may advocate for stricter regulations or mitigation measures.', 'May be interested in the research findings, as Steller sea lions can be affected by commercial fishing activities and may influence regulations on fishing operations.']"
Port Authority Trans-Hudson's Request To Amend Its Positive Train Control Safety Plan and Positive Train Control System,"This document announces that the Port Authority Trans-Hudson (PATH) has submitted a request for amendment (RFA) to its FRA-approved Positive Train Control Safety Plan (PTCSP). The RFA seeks FRA's approval to deploy new software and resolve known software issues for PATH's Communication Based Train Control (CBTC) system. FRA is publishing this notice and inviting public comments on PATH's RFA, which may involve material modifications to the PTC system.The document outlines the regulatory framework, noting that FRA must certify a railroad's PTC system and approve any material modifications to it. The public comment period is open until May 20, 2024, and FRA will consider the comments received during its review of the RFA.","['Port Authority Trans-Hudson (PATH)', 'Federal Railroad Administration (FRA)', 'Commuters and local communities', 'Railroad industry groups']","['Seeking FRA approval for modifications to its CBTC system to improve performance, which may require overcoming regulatory hurdles.', 'Responsible for certifying PTC systems and approving any material modifications, balancing safety and operational needs.', 'Concerned about the reliability and safety of the PATH transit system, which could be affected by the proposed modifications.', 'May provide feedback on the technical aspects of the proposed changes and their potential impacts on the broader PTC ecosystem.']"
Endangered and Threatened Species; Receipt of Recovery Permit Applications,"This document announces that the U.S. Fish and Wildlife Service has received applications for permits to conduct activities intended to enhance the propagation or survival of endangered or threatened species under the Endangered Species Act. The agency is inviting public and stakeholder comments on these permit applications before making a decision.The key points are:- The Endangered Species Act requires the agency to issue permits for activities involving endangered species and to invite public comment before issuing such permits.- The permit applications are for activities like presence/absence surveys, habitat use documentation, population monitoring, and impact evaluation for various endangered freshwater mussel and bat species.- The agency is seeking comments from the public, as well as local, state, tribal, and federal agencies, to inform their decision-making on whether to issue the requested permits.This document is important as it provides transparency around the agency's permitting process for activities involving endangered species, and allows for public and stakeholder input to be considered before final decisions are made.","['Environmental advocacy groups', 'Researchers and scientists', 'Landowners and developers']","['Likely to closely monitor the permit applications and comment on them, to ensure adequate protections for the endangered species.', 'May be supportive of the permit applications, as the proposed activities could advance scientific understanding and recovery efforts for the endangered species.', 'May be concerned about the potential impacts of the permitted activities on their land use or development plans, and could seek to influence the permit decisions.']"
Notice of Request for Extension and Revision of a Currently Approved Information Collection,"This document announces the Agricultural Marketing Service's (AMS) intention to request approval from the Office of Management and Budget (OMB) for an extension and revision of the currently approved information collection related to the Laboratory Approval and Testing Division. The information collection is necessary for AMS to provide laboratory testing and approval services to facilitate domestic and international marketing of food and agricultural commodities. The key points include:- AMS' Laboratory Approval Service (LAS) approves and accredits laboratories to perform testing services, and the National Science Laboratories (NSL) provide analytical testing services.- The information collection covers essential details needed for collecting payment, evaluating laboratories for compliance, and submitting samples for testing.- The estimated burden is 2,023.70 hours annually for 3,620 respondents, with an average of 0.50 hours per response.- AMS is seeking public comments on the necessity, accuracy, and ways to enhance or minimize the burden of the information collection.","['Food and agricultural businesses', 'Approved laboratories', 'Consumers of food and agricultural products']","['May be affected by the information collection requirements, as they need to provide details for payment, laboratory approval, and sample testing. They may have an interest in minimizing the burden of the information collection.', 'Have a vested interest in the laboratory approval process and may want to ensure the information collection requirements are fair and not overly burdensome.', 'May be indirectly affected by the information collection, as it supports the marketing and trade of these products. They may have an interest in ensuring the information collection leads to effective oversight and quality assurance.']"
Heritable Intentional Genomic Alterations in Animals: The Approval Process; Draft Guidance for Industry; Availability,"This document announces the availability of a draft guidance from the FDA on the approval process for heritable intentional genomic alterations (IGAs) in animals. The draft guidance aims to clarify the FDA's requirements and recommendations for developers of such IGAs. It is being issued alongside a companion final guidance that describes the FDA's risk-based regulatory approach to overseeing heritable IGAs in animals. The key points are:- The draft guidance, GFI #187B, outlines the FDA approval process for heritable IGAs in animals.- It is being issued to solicit public comments that will help the agency update and streamline the approval process.- The companion final guidance, GFI #187A, details the FDA's risk-based approach to regulating heritable IGAs in animals.- The documents are important in providing clarity and transparency around the regulatory framework for this emerging technology.","['Animal biotechnology companies', 'Animal welfare advocates', 'Environmental groups']","['May be interested in providing feedback to shape the approval process and ensure it is efficient and feasible for their product development.', 'May scrutinize the guidance to ensure adequate safeguards are in place to protect animal welfare in the development of heritable IGAs.', 'May want to review the risk-based approach to assess potential environmental impacts of heritable IGAs in animals.']"
Raw Data for Safety and Effectiveness Studies; Draft Guidance for Industry; Availability,"This document announces the availability of a draft guidance from the FDA's Center for Veterinary Medicine (CVM) on the submission of raw data for safety and effectiveness studies supporting new animal drug applications. The guidance provides recommendations to animal drug sponsors on how to submit raw data and how CVM uses this data in its regulatory review process. The draft guidance is open for public comment until June 28, 2024, after which the FDA will finalize the guidance.The key points are:- The guidance aims to provide clarity and recommendations to sponsors on submitting raw data for CVM's review of safety and effectiveness studies.- It explains how CVM uses the raw data to have confidence in the information used to make regulatory decisions on new animal drug applications.- The draft guidance is non-binding, and sponsors can use alternative approaches that satisfy the applicable statutes and regulations.- The guidance does not establish any new information collection requirements, but refers to previously approved data collection under the Paperwork Reduction Act.","['Animal drug sponsors', 'Animal welfare advocates', 'Pharmaceutical industry associations']","[""May be interested in the guidance to understand the FDA's expectations for submitting raw data to support their new animal drug applications, which could impact their product development and approval timelines."", 'May scrutinize the guidance to ensure the raw data requirements do not compromise animal safety or lead to unnecessary animal testing.', 'May provide feedback on the guidance to advocate for approaches that balance regulatory oversight with minimizing burden on drug sponsors.']"
Draft Updated Guidance for Assessing the Effects of Anthropogenic Sound on Marine Mammal Hearing-Underwater and In-Air Criteria for Onset of Auditory Injury and Temporary Threshold Shifts (Version 3.0),"This document announces the availability of a draft updated guidance from the National Marine Fisheries Service (NMFS) for assessing the effects of anthropogenic sound on marine mammal hearing. The key points are:- The draft guidance provides updated received levels and auditory weighting functions, or acoustic criteria, for when marine mammals are predicted to experience auditory injury or temporary threshold shifts from underwater and in-air sound exposure.- The updated guidance will replace NMFS's current 2018 technical guidance, incorporating new data and methodological improvements.- Notable changes include lower auditory injury and temporary threshold shift thresholds for certain marine mammal species, as well as the inclusion of in-air acoustic criteria.- NMFS is seeking public comments on the draft guidance to complete the review process before finalizing the updated technical guidance.","['Marine industries (e.g., offshore energy, shipping, construction)', 'Environmental advocacy groups', 'Federal agencies (e.g., Department of Defense, Bureau of Ocean Energy Management)', 'Marine mammal researchers and scientists']","['May be concerned about the potential impact of stricter acoustic criteria on their operations and the need to implement additional mitigation measures.', 'Likely to support the updated guidance as a means to better protect marine mammals from the impacts of anthropogenic sound.', 'May provide input on the technical aspects of the guidance and how it could affect their activities that involve underwater sound-generating operations.', 'Interested in ensuring the guidance reflects the latest scientific understanding of marine mammal hearing and the effects of sound exposure.']"
"Promotional Labeling and Advertising Considerations for Prescription Biological Reference Products, Biosimilar Products, and Interchangeable Biosimilar Products: Questions and Answers; Revised Draft Guidance for Industry; Availability","This document announces the availability of a revised draft guidance from the FDA on promotional labeling and advertising considerations for prescription biological reference products, biosimilar products, and interchangeable biosimilar products. The guidance aims to address questions that manufacturers, packers, distributors, and their representatives may have when developing FDA-regulated promotional communications for these products. The revised draft guidance replaces a previous version issued in 2020 and is consistent with the FDA's commitment to publish a draft guidance on promotional labeling and advertising for interchangeable biosimilar products as part of the Biosimilar User Fee Amendments of 2022 (BsUFA III).The key points are:- The FDA is issuing a revised draft guidance to provide clarity and guidance on promotional labeling and advertising for biological reference products, biosimilar products, and interchangeable biosimilar products.- The guidance is intended to help firms develop compliant promotional communications for these products.- The revised draft guidance replaces a previous version and fulfills the FDA's commitment under BsUFA III to publish guidance on promotional considerations for interchangeable biosimilar products.","['Pharmaceutical manufacturers of biological reference products, biosimilar products, and interchangeable biosimilar products', 'Patient advocacy groups', 'Healthcare providers', 'Pharmacy benefit managers and insurers']","['May be interested in the guidance to ensure their promotional materials comply with FDA regulations and avoid potential enforcement actions.', 'May be concerned about the potential impact of promotional claims on patient understanding and access to these products.', 'May be interested in the guidance to understand how promotional materials for these products can be presented to them.', 'May be interested in the guidance to ensure promotional claims do not mislead or unduly influence coverage and reimbursement decisions.']"
Agency Information Collection Activities: Proposed Collection; Comment Request,"This document announces the Centers for Medicare & Medicaid Services' (CMS) intention to collect information from the public through the Medicare Current Beneficiary Survey (MCBS). The MCBS is a comprehensive and longitudinal survey of Medicare beneficiaries that provides essential data to CMS and external stakeholders for evaluating the Medicare program and informing policy decisions. The document outlines the purpose, scope, and history of the MCBS, as well as the process for the public to provide comments on the proposed information collection.","['Medicare beneficiaries', 'Healthcare providers and insurers', 'Policymakers and government agencies', 'Academic and research institutions']","['May be interested in how the survey data is used to shape policies that affect their healthcare coverage and costs.', 'Could be interested in the survey data to better understand the Medicare population and inform their own business strategies.', 'Likely to be the primary users of the MCBS data, as it informs decision-making and the development of new Medicare policies and programs.', 'May use the MCBS data for independent analysis and studies on the Medicare population and healthcare system.']"
Notice of Submission of Proposed Information Collection to OMB; Agency Request for Reinstatement of Previously Approved Collections: Traveling by Air With Service Animals-U.S. Department of Transportation Service Animal Air Transportation Form and U.S. Department of Transportation Service Animal Relief Attestation Form,"This document announces the Department of Transportation's (DOT) intention to renew the Office of Management and Budget (OMB) Control Number 2105-0576, which covers the U.S. Department of Transportation Service Animal Air Transportation Form and the U.S. Department of Transportation Service Animal Relief Attestation Form. These forms are required for passengers traveling with service animals on flights. The key points are:- The DOT is seeking public comments on the information collections and proposed amendments to the forms, which aim to reduce burdens on individuals with disabilities.- The forms are designed to provide assurances to airlines that service animals do not pose a direct threat and can be properly accommodated during air travel.- The DOT is following the Paperwork Reduction Act process to renew the information collections, which includes a 60-day public comment period.","['Passengers with service animals', 'Airlines', 'Disability advocacy groups']","['May be interested in providing feedback on the proposed changes to the forms to ensure they are user-friendly and do not create undue burdens.', 'Likely to support the renewal of the information collections, as the forms help them manage the transportation of service animals and mitigate potential risks.', 'May review the proposed changes to the forms to ensure they adequately accommodate the needs of individuals with disabilities.']"
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; RCRA Subtitle C Reporting Instructions and Forms (Renewal),"This document announces the Environmental Protection Agency's (EPA) request to the Office of Management and Budget (OMB) for a renewal of the information collection request (ICR) related to RCRA Subtitle C reporting instructions and forms. The ICR covers the burden associated with various RCRA requirements, such as petitions, variances, exclusions, and exemptions. The document outlines the key details of the ICR, including the number of respondents, frequency of response, total estimated burden, and changes from the previous ICR. The renewal is necessary to continue the EPA's comprehensive program for the safe management of hazardous waste under RCRA.","['Regulated entities (private sector, state/local/tribal governments)', 'Environmental advocacy groups', 'OMB']","['May be affected by the RCRA reporting requirements and may have an interest in submitting petitions, variances, exclusions, or exemptions.', ""Likely to be interested in ensuring the EPA's effective implementation of the RCRA program for the safe management of hazardous waste."", ""Responsible for reviewing and approving the EPA's ICR, ensuring the information collection is necessary and the burden is minimized.""]"
Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities (March 2024),"This document announces the EPA's receipt of two pesticide petitions requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various food commodities. The EPA is opening a public comment period before evaluating the petitions and determining if any action is warranted. The petitions seek to establish new tolerance exemptions for an inert ingredient and a biochemical pesticide. The EPA is seeking information on potential environmental justice impacts and is providing instructions for submitting comments, including guidance on protecting confidential business information.","['Agricultural producers', 'Food manufacturers', 'Pesticide manufacturers', 'Environmental advocacy groups', 'Minority and low-income communities']","['May be interested in the potential impacts of the proposed tolerance exemptions on the safety and marketability of their crops.', 'Concerned about the potential presence of pesticide residues in their products and the implications for food safety and regulatory compliance.', 'Likely to support the proposed tolerance exemptions, as they could expand the use of their products and reduce regulatory burdens.', 'May be concerned about the potential environmental and health impacts of the proposed pesticide residues, and could advocate for stricter regulations.', 'May be disproportionately affected by the potential environmental and health impacts of the proposed pesticide residues, and could seek to ensure their concerns are addressed.']"
Agency Information Collection Activities: Requests for Comments; Clearance of a Renewed Approval of Information Collection: Passenger Facility Charge (PFC) Application,"This document announces the Federal Aviation Administration's (FAA) intention to request the Office of Management and Budget (OMB) approval to renew an information collection related to the Passenger Facility Charge (PFC) program. The PFC program allows public agencies controlling airports to impose charges on passengers and use the revenue for airport-related projects that enhance safety, security, capacity, or reduce noise. The information collected enables the FAA to approve PFC applications and provide oversight of the program as required by statute.","['Airport authorities', 'Airline industry', 'Passenger advocacy groups']","['Supportive of the PFC program as it provides them with a funding source for airport improvements, but may have concerns about the administrative burden of the application and reporting requirements.', 'May be concerned about the PFC charges, as they are passed on to passengers, potentially increasing the cost of air travel and affecting airline competitiveness.', 'May oppose the PFC program as it increases the cost of air travel for passengers, but could also support it if the funds are used to improve the passenger experience and airport infrastructure.']"
Qualification of Drivers; Exemption Applications; Hearing,This document announces the Federal Motor Carrier Safety Administration's (FMCSA) decision to renew exemptions for 13 individuals from the hearing requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions allow these hard of hearing and deaf individuals to continue operating CMVs in interstate commerce. The exemptions were granted under the statutory authority that allows FMCSA to provide exemptions for up to 5 years if it finds the exemption would likely achieve an equivalent or greater level of safety compared to the standard.,"['Commercial motor vehicle drivers with hearing impairments', 'Safety advocacy groups', 'Transportation industry associations']","['Supportive of the exemptions, as they allow these individuals to continue their careers as interstate CMV drivers.', 'May be concerned about the potential safety implications of allowing drivers with hearing impairments to operate CMVs, and could push for stricter medical requirements.', 'Likely to support the exemptions, as they allow companies to retain experienced drivers and address labor shortages in the industry.']"
Qualification of Drivers; Exemption Applications; Epilepsy and Seizure Disorders,"This document announces the Federal Motor Carrier Safety Administration's (FMCSA) decision to renew exemptions for 22 individuals with a history of epilepsy or seizure disorders who operate commercial motor vehicles (CMVs) in interstate commerce. The exemptions allow these individuals, who are taking anti-seizure medication, to continue driving CMVs despite not meeting the standard medical requirement of having 'no established medical history or clinical diagnosis of epilepsy or any other condition which is likely to cause loss of consciousness or any loss of ability to control a CMV.'The document outlines the process for submitting public comments on the exemption renewals, as well as instructions for viewing the comments. It also provides background information on the FMCSA's authority to grant such medical exemptions under federal law.This document is important as it demonstrates the FMCSA's willingness to accommodate individuals with certain medical conditions, like epilepsy, who are otherwise qualified to operate CMVs safely. The exemptions aim to balance public safety with providing employment opportunities for these individuals.","['Commercial motor vehicle drivers with epilepsy or seizure disorders', 'Safety advocacy groups', 'Motor carrier companies']","['Supportive of the exemptions, as they allow these individuals to continue their careers as CMV operators despite their medical conditions.', 'May be concerned about the potential risks of allowing CMV drivers with a history of seizures, even if they are taking medication, and could push for stricter medical requirements.', 'Likely to favor the exemptions, as they provide a larger pool of qualified drivers to employ, but may also have concerns about liability and safety.']"
Agency Information Collection Activities: School Meals Operations Study: Evaluation of the School-Based Child Nutrition Programs,"This document announces the Food and Nutrition Service's (FNS) plans to submit an Information Collection Request (ICR) to the Office of Management and Budget (OMB) for the School Meals Operations (SMO) study. The SMO study collects survey and administrative data from state agencies about the National School Lunch Program (NSLP), School Breakfast Program (SBP), and other child nutrition programs. The proposed revision will allow the SMO study to collect data for the 2023-2024 school year, building on the data collected in previous years. This information is important for FNS to assess program participation, operations, and integrity, and to inform budget and policy decisions.","['State agency directors', 'School food authorities', 'Advocacy groups for child nutrition and food security']","['May be concerned about the data collection burden, but also have an interest in providing timely information to help FNS support the child nutrition programs.', 'While not directly surveyed in this revision, they may be interested in how the data collected could impact program operations and funding at the local level.', 'Likely to support the continued data collection efforts to ensure the programs are effectively serving children and families in need.']"
Medicare Program; Application by the Community Health Accreditation Partner (CHAP) for Continued CMS Approval of Its Home Infusion Therapy (HIT) Accreditation Program,"This document announces the receipt of an application from the Community Health Accreditation Partner (CHAP) for continued approval by the Centers for Medicare & Medicaid Services (CMS) of CHAP's national accrediting organization program for suppliers providing home infusion therapy (HIT) services. The document outlines the statutory requirements for CMS to designate accrediting organizations to accredit HIT suppliers, and the process for CMS to review and approve CHAP's application. The purpose of the notice is to inform the public of CHAP's request and solicit comments on whether CHAP's accreditation requirements meet or exceed the Medicare requirements for HIT services.","['Home infusion therapy suppliers', 'Patient advocacy groups', 'CHAP (the accrediting organization)', 'CMS (Centers for Medicare & Medicaid Services)']","['Interested in ensuring the accreditation requirements are reasonable and do not impose undue burden, as they will need to obtain accreditation to participate in Medicare and Medicaid programs.', 'Concerned about the quality of home infusion therapy services and may want to ensure the accreditation standards are robust enough to protect patient safety and outcomes.', 'Seeking continued CMS approval of its accreditation program, which is essential for its business model and maintaining its role in the home infusion therapy market.', 'Responsible for designating accrediting organizations and ensuring the accreditation standards meet Medicare requirements, in order to protect beneficiaries and the integrity of the Medicare program.']"
Marine Mammal Protection Act; Permit Applications and Issuances,"This document announces the receipt of permit applications and the issuance of permits by the U.S. Fish and Wildlife Service under the Marine Mammal Protection Act (MMPA). The key points are:- The Service is inviting public comments on several permit applications, including for the import of Atlantic walrus teeth, commercial photography/filming of northern sea otters, scientific research on polar bears and Pacific walrus, and aerial surveys and foraging observations of sea otters.- The Service has also recently issued permits to various entities for activities involving marine mammals, such as scientific research and population monitoring.- The document provides details on how to access the permit application materials and submit public comments. It also outlines the background and legal framework of the MMPA permitting process.This document is important as it allows for public participation in the review of permit applications and provides transparency around the Service's decisions to issue permits for activities involving protected marine mammal species.","[""Marine research organizations (e.g., Matson's Laboratory, North Slope Borough Department of Wildlife)"", 'Commercial entities (e.g., MeatEater Inc., Windfall Films)', 'Environmental advocacy groups', 'Indigenous communities (e.g., North Slope Borough)']","['May support the permit applications as they enable important scientific research and population monitoring activities for marine mammals.', 'May have an interest in obtaining permits for commercial photography, filming, and other activities involving marine mammals, but could face opposition from environmental groups.', 'Likely to closely scrutinize the permit applications and issuances to ensure they do not negatively impact marine mammal populations or habitats.', 'May have a vested interest in the management and sustainable use of marine mammal resources, such as the Atlantic walrus and Pacific walrus.']"
Solicitation of Membership Nominations for the Advisory Committee on Excellence in Space (ACES),"This document announces the solicitation of membership nominations for the Advisory Committee on Excellence in Space (ACES), a federal advisory committee established by the Department of Commerce. ACES will provide advice and recommendations to the Under Secretary of Commerce for Oceans and Atmosphere or the Director of the Office of Space Commerce on matters related to commercial space activities and policies. The committee will consist of up to 25 members with diverse backgrounds in the commercial space industry, including industry leaders, academics, and representatives from non-profit organizations and state/tribal governments. The document outlines the nomination process, member responsibilities, and privacy considerations for the committee.","['Commercial space industry leaders', 'Academic and research institutions', 'Non-profit organizations and advocacy groups', 'State and tribal governments']","['May be interested in serving on the committee to provide input on policies and regulations affecting their businesses.', 'May nominate members to represent the scientific and technical perspectives on commercial space activities.', 'May seek representation on the committee to advocate for their interests, such as environmental protection or equitable access to space.', ""May nominate members to ensure their jurisdictions' interests are considered in the committee's recommendations.""]"
Agency Information Collection Extension,"This document announces the U.S. Energy Information Administration's (EIA) proposal to extend the Uranium Data Program (UDP) for another three years, with some changes. The UDP consists of three surveys that collect data on domestic uranium supply and demand activities, including production, exploration, trade, and purchases. The data is used by Congress, government agencies, the nuclear and uranium industry, and the public. The proposed changes include a slight increase in the total estimated burden hours across the three surveys, mainly due to the addition of one trader/broker respondent for the EIA-858 survey, while the number of respondents for the other two surveys has decreased or remained the same.","['Congress', 'Executive Branch agencies', 'Nuclear and uranium industry', 'Electric power industry', 'Environmental advocacy groups']","['Likely to be interested in the data collected through the UDP, as it informs policy decisions related to the nuclear and uranium industry.', 'May use the UDP data to inform policy and regulatory decisions affecting the uranium and nuclear sectors.', 'Directly affected by the data collection and may have an interest in influencing the survey questions and methodology to better represent their interests.', 'Relies on the uranium supply and demand data to make informed decisions about their fuel procurement and operations.', 'May be concerned about the environmental impacts of uranium production and may seek to influence the data collection to highlight these issues.']"
Foreign Endangered Species; Receipt of Permit Applications,"This document announces the U.S. Fish and Wildlife Service's receipt of permit applications from various organizations to conduct activities involving endangered foreign species, such as importing biological samples for scientific research or exporting captive-bred animals for conservation purposes. The public is invited to comment on these applications before the Service issues any permits. The document outlines the public comment procedures, including how to submit comments and the types of information that would be most useful to the agency's decision-making process.This notice is important as it provides transparency around the Service's permitting process for activities involving endangered species, which is required by the Endangered Species Act. The public comment period allows stakeholders to voice their perspectives and potentially influence the final permit decisions, which can have significant implications for the conservation of these species.","['Scientific research institutions (e.g., Washington University, University of Georgia)', 'Zoos and conservation organizations (e.g., Lincoln Park Zoo, Smithsonian National Zoo)', 'Environmental advocacy groups', ""Local communities in the species' native ranges (e.g., Sri Lanka)""]","['Likely to support the permit applications as they enable important scientific research on endangered species.', 'May support the permit applications as they facilitate efforts to enhance the propagation and survival of endangered species.', 'May scrutinize the permit applications to ensure they do not pose undue risks to endangered species or their habitats.', 'May be concerned about the potential impacts of sample collection or animal exports on local populations and ecosystems.']"
